company,phone,mobile,email,website,address,google_map_coord,image_link
"Bell, Lamb & Trotter",(03)389 7999,,funerals@belllambtrotter.co.nz,https://belllambtrotter.co.nz/,"297 Ferry Road, Christchurch, Canterbury, 8011, New Zealand",https://www.google.com/maps/search/?api=1&query=297%20Ferry%20Road%20Christchurch%20Canterbury%208011%20New%20Zealand%20,/assets/Uploads/organisations/Bell-Lamb-Trotter-v2__PadWzIwMCwyMDAsIkZGRiIsMF0.jpg
besoul Funerals,09 422 2534,,hello@besoul.co.nz,https://www.besoulfunerals.co.nz/,"12 Gumfield Drive, Warkworth, Northland, 0910, New Zealand",https://www.google.com/maps/search/?api=1&query=12%20Gumfield%20Drive%20Warkworth%20Northland%200910%20New%20Zealand%20,/assets/Uploads/organisations/BeSoul-logo-FINAL-RGB_reverse__PadWzIwMCwyMDAsIkZGRiIsMF0.jpg
Beth Shan Funerals (Hastings),(06)870 3399,,teamhastings@beth-shan.co.nz,https://beth-shan.co.nz/,"401 Maraekakaho Road, Hastings, Hawke's Bay, 4120",https://www.google.com/maps/search/?api=1&query=401%20Maraekakaho%20Road%20Hastings%20Hawke's%20Bay%204120%20,/assets/Uploads/organisations/BS-Logo-2020-v2__PadWzIwMCwyMDAsIkZGRiIsMF0.jpg
Beth Shan Funerals (Napier),(06)835 9925,,staff@beth-shan.co.nz,https://beth-shan.co.nz/,"157 Georges Drive, Napier, Hawke's Bay, 4110, New Zealand",https://www.google.com/maps/search/?api=1&query=157%20Georges%20Drive%20Napier%20Hawke's%20Bay%204110%20New%20Zealand%20,/assets/Uploads/organisations/BS-Logo-2020__PadWzIwMCwyMDAsIkZGRiIsMF0.jpg
Beth Shan Funerals (Taradale),06 835 9925,,,https://beth-shan.co.nz/,"371 Gloucester St, Taradale, Napier, Hawke's Bay, 4112, New Zealand",https://www.google.com/maps/search/?api=1&query=371%20Gloucester%20St%20Taradale%20Napier%20Hawke's%20Bay%204112%20New%20Zealand%20,/assets/Uploads/organisations/BS-Logo-2020-v3__PadWzIwMCwyMDAsIkZGRiIsMF0.jpg
Betts Funeral Services,(03)688 4033,,office@betts.co.nz,https://betts.co.nz/,"33 North Street, Timaru, Canterbury, 7910, New Zealand",https://www.google.com/maps/search/?api=1&query=33%20North%20Street%20Timaru%20Canterbury%207910%20New%20Zealand%20,/assets/Uploads/organisations/Betts-Logo__PadWzIwMCwyMDAsIkZGRiIsMF0.jpg
Broadway Funeral Home (Matamata),(07)888 8333,,info@funeralhome.co.nz,https://www.funeralhome.co.nz/,"10 Short Street, Matamata, Waikato, 3400, New Zealand",https://www.google.com/maps/search/?api=1&query=10%20Short%20Street%20Matamata%20Waikato%203400%20New%20Zealand%20,/assets/Uploads/organisations/Broadway__PadWzIwMCwyMDAsIkZGRiIsMF0.png
Broadway Funeral Homes (Te Aroha),0800 862 273,,info@funeralhome.co.nz,https://www.funeralhome.co.nz/,"188 Whitaker Street, Te Aroha, Waikato, 3320",https://www.google.com/maps/search/?api=1&query=188%20Whitaker%20Street%20Te%20Aroha%20Waikato%203320%20,/assets/Uploads/organisations/Broadway-v2__PadWzIwMCwyMDAsIkZGRiIsMF0.png
Budget Cremations,0800 22 33 11,,Info@budgetcremations.co.nz,www.budgetcremations.co.nz,"Wellington, New Zealand",https://www.google.com/maps/search/?api=1&query=Wellington%20New%20Zealand%20,/assets/Uploads/organisations/Budget-Cremations-Logo-v2__PadWzIwMCwyMDAsIkZGRiIsMF0.jpg
Campbell & Sons Funeral Services,(03)489 7756,,office@campbellandsons.co.nz,https://www.campbellandsons.co.nz/,"95 Gordon Road, Mosgiel, Otago, 9024, New Zealand",https://www.google.com/maps/search/?api=1&query=95%20Gordon%20Road%20Mosgiel%20Otago%209024%20New%20Zealand%20,/assets/Uploads/organisations/Campbell-Sons__PadWzIwMCwyMDAsIkZGRiIsMF0.jpg
Canterbury Christian Funeral Services,(03)358 8807,,reception@ccfs.net.nz,https://www.canterburychristianfunerals.co.nz/,"84 Carmen Road  ​, Hei Hei, Christchurch, Canterbury, 8042, New Zealand",https://www.google.com/maps/search/?api=1&query=84%20Carmen%20Road%20%20​%20Hei%20Hei%20Christchurch%20Canterbury%208042%20New%20Zealand%20,/assets/Uploads/organisations/Canterbury-Christian__PadWzIwMCwyMDAsIkZGRiIsMF0.jpg
Central Hawkes Bay Funeral Services,(06)858 8146,,funeral@chbfs.co.nz,http://www.chbfunerals.co.nz/,"10 Peel Street, Waipukurau, Hawke's Bay, 4200, New Zealand",https://www.google.com/maps/search/?api=1&query=10%20Peel%20Street%20Waipukurau%20Hawke's%20Bay%204200%20New%20Zealand%20,/assets/Uploads/organisations/Central-Hawkes-Bay__PadWzIwMCwyMDAsIkZGRiIsMF0.png
Central Otago Funerals (Alexandra),(03)448 8642,,centralotagofunerals@hotmail.com,http://www.centralotagofunerals.co.nz/,"16 Ennis Street, Alexandra, Otago, 9320",https://www.google.com/maps/search/?api=1&query=16%20Ennis%20Street%20Alexandra%20Otago%209320%20,/assets/Uploads/organisations/COF-new-logo-for-FDANZ-website-v2__PadWzIwMCwyMDAsIkZGRiIsMF0.jpg
Central Otago Funerals (Cromwell),03 448 8642,,centralotagofunerals@hotmail.com,www.centralotagofunerals.co.nz,"5 McNulty Road, Cromwell, Otago, 9310, New Zealand",https://www.google.com/maps/search/?api=1&query=5%20McNulty%20Road%20Cromwell%20Otago%209310%20New%20Zealand%20,/assets/Uploads/organisations/COF-LOGO__PadWzIwMCwyMDAsIkZGRiIsMF0.png
Chester Burt Funeral Home,(06)376 8286,,info@chesterburtfunerals.co.nz,,"Pahiatua, Manawatu-Whanganui, 4910, New Zealand",https://www.google.com/maps/search/?api=1&query=Pahiatua%20Manawatu-Whanganui%204910%20New%20Zealand%20,/assets/Uploads/organisations/Chester-Burt__PadWzIwMCwyMDAsIkZGRiIsMF0.png
Christchurch Crematorium Funerals,(03)341 6117,,office@chchcremations.co.nz,https://www.chchcremations.co.nz/,"65 Vickerys Road, Wigram, Christchurch, Canterbury, 8042, New Zealand",https://www.google.com/maps/search/?api=1&query=65%20Vickerys%20Road%20Wigram%20Christchurch%20Canterbury%208042%20New%20Zealand%20,
Cleveland Funeral Home,(06)345 5522,,info@clevelandfunerals.co.nz,http://www.clevelandfunerals.co.nz/,"173-179 Ingestre Street, Wanganui, Manawatu-Whanganui, 4500, New Zealand",https://www.google.com/maps/search/?api=1&query=173-179%20Ingestre%20Street%20Wanganui%20%20Manawatu-Whanganui%204500%20New%20Zealand%20,/assets/Uploads/organisations/Cleveland__PadWzIwMCwyMDAsIkZGRiIsMF0.png
Cloudy Bay Funeral Services,(03)578 2004,,office@cloudybayfunerals.co.nz,https://www.cloudybayfunerals.co.nz/,"15 Boyce Street, Blenheim, Marlborough, 7201, New Zealand",https://www.google.com/maps/search/?api=1&query=15%20Boyce%20Street%20Blenheim%20Marlborough%207201%20New%20Zealand%20,/assets/Uploads/organisations/Cloudy-Bay-Logo__PadWzIwMCwyMDAsIkZGRiIsMF0.jpg
Collingwood Funeral Home,,,office@cfhrotorua.co.nz,https://www.collingwoodfuneralhome.co.nz/,"1358 Eruera Street, Rotorua, Bay of Plenty, 3010, New Zealand",https://www.google.com/maps/search/?api=1&query=1358%20Eruera%20Street%20Rotorua%20Bay%20of%20Plenty%203010%20New%20Zealand%20,/assets/Uploads/organisations/Collingwood-FH-logo__PadWzIwMCwyMDAsIkZGRiIsMF0.JPG
Croft Funeral Home,(04)569 7072,,robert@croftfunerals.co.nz,https://croftfunerals.co.nz/,"2 Osborne Place, Lower Hutt, Wellington, 5010, New Zealand",https://www.google.com/maps/search/?api=1&query=2%20Osborne%20Place%20Lower%20Hutt%20Wellington%205010%20New%20Zealand%20,/assets/Uploads/organisations/Croft__PadWzIwMCwyMDAsIkZGRiIsMF0.jpg
Davis Funeral Services (Central Auckland),(09)638 9026,,office@davisfunerals.co.nz,https://davisfunerals.co.nz/,"400 Dominion Road, Mt Eden, Auckland, 1024, New Zealand",https://www.google.com/maps/search/?api=1&query=400%20Dominion%20Road%20Mt%20Eden%20Auckland%201024%20New%20Zealand%20,/assets/Uploads/organisations/David-Funerals__PadWzIwMCwyMDAsIkZGRiIsMF0.jpg
Davis Funeral Services (East Auckland),(09)576 7108,,pakuranga@davisfunerals.co.nz,https://davisfunerals.co.nz/,"2A Udys Road, Pakuranga, Auckland, 2010, Afghanistan",https://www.google.com/maps/search/?api=1&query=2A%20Udys%20Road%20Pakuranga%20Auckland%202010%20Afghanistan%20,/assets/Uploads/organisations/Davis-Funerals-v6__PadWzIwMCwyMDAsIkZGRiIsMF0.jpg
Davis Funeral Services (Eastern Bays),(09)521 0300,,office@davisfunerals.co.nz,https://davisfunerals.co.nz/,"353 St Heliers Bay Road, Kohimarama, Auckland, 1071, New Zealand",https://www.google.com/maps/search/?api=1&query=353%20St%20Heliers%20Bay%20Road%20Kohimarama%20Auckland%201071%20New%20Zealand%20,/assets/Uploads/organisations/Davis-Funerals-v3__PadWzIwMCwyMDAsIkZGRiIsMF0.jpg
Davis Funeral Services (West Auckland),(09)835 3557,,henderson@davisfunerals.co.nz,https://davisfunerals.co.nz/,"150 Central Park Drive, Henderson, Auckland, 0610",https://www.google.com/maps/search/?api=1&query=150%20Central%20Park%20Drive%20Henderson%20Auckland%200610%20,/assets/Uploads/organisations/Davis-Funerals-v2__PadWzIwMCwyMDAsIkZGRiIsMF0.jpg
Davis Funerals (South Auckland),(09)277 2526,,papatoetoe@davisfunerals.co.nz,https://davisfunerals.co.nz/,"110 Kolmar Road, Papatoetoe, Auckland, 2025",https://www.google.com/maps/search/?api=1&query=110%20Kolmar%20Road%20Papatoetoe%20Auckland%202025%20,/assets/Uploads/organisations/Davis-Funerals-v7__PadWzIwMCwyMDAsIkZGRiIsMF0.jpg
Dempsey & Forrest,(06)349 0202,,admin@dempseyandforrest.co.nz,https://www.dempseyandforrest.co.nz/,"208 Guyton Street, Wanganui, Manawatu-Whanganui, 4500, New Zealand",https://www.google.com/maps/search/?api=1&query=208%20Guyton%20Street%20Wanganui%20Manawatu-Whanganui%204500%20New%20Zealand%20,/assets/Uploads/organisations/Dempsey-Forrest__PadWzIwMCwyMDAsIkZGRiIsMF0.jpg
Dil's Funeral Services (Hibiscus Coast),,,,,"Hibiscus Coast Chapel, 48 Waiora Road, Stanmore Bay, Auckland, Auckland, 0932, New Zealand",https://www.google.com/maps/search/?api=1&query=Hibiscus%20Coast%20Chapel%20%2048%20Waiora%20Road%20Stanmore%20Bay%20Auckland%20Auckland%200932%20New%20Zealand%20,/assets/Uploads/organisations/Dils-2-v3__PadWzIwMCwyMDAsIkZGRiIsMF0.jpg
Dil's Funeral Services (North Harbour),(09)415 8720,,info@dils.co.nz,https://www.dils.co.nz/,"185 Schnapper Rock Road, Albany, Auckland, 0632, New Zealand",https://www.google.com/maps/search/?api=1&query=185%20Schnapper%20Rock%20Road%20Albany%20Auckland%200632%20New%20Zealand%20,/assets/Uploads/organisations/Dils-2__PadWzIwMCwyMDAsIkZGRiIsMF0.jpg
Dil's Funeral Services Ltd (Birkenhead),(09)415 8720,,info@dils.co.nz,https://www.dils.co.nz/,"92 Hinemoa Street, Birkenhead, Auckland, 0626, New Zealand",https://www.google.com/maps/search/?api=1&query=92%20Hinemoa%20Street%20Birkenhead%20Auckland%200626%20New%20Zealand%20,/assets/Uploads/organisations/Dils-2-v2__PadWzIwMCwyMDAsIkZGRiIsMF0.jpg
Duckett Funerals,(06) 377 0231,,,https://duckettfunerals.co.nz/,"56 Fitzherbert Street, Featherston, Wellington, 5710, New Zealand",https://www.google.com/maps/search/?api=1&query=56%20Fitzherbert%20Street%20Featherston%20Wellington%205710%20New%20Zealand%20,
Dunstalls Funeral Services,(06)835 7196,,office@dunstalls.co.nz,https://www.dunstalls.co.nz/,"Cnr Edwardes & Bower Streets, Napier, Hawke's Bay, 4110, New Zealand",https://www.google.com/maps/search/?api=1&query=Cnr%20Edwardes%20&%20Bower%20Streets%20Napier%20Hawke's%20Bay%204110%20New%20Zealand%20,/assets/Uploads/organisations/Asset-44x__PadWzIwMCwyMDAsIkZGRiIsMF0.png
Eagars Funerals,(06)759 2200,,office@eagars.co.nz,www.eagars.co.nz,"172-174 Lemon Street, Strandon, New Plymouth, Taranaki, 4312, Afghanistan",https://www.google.com/maps/search/?api=1&query=172-174%20Lemon%20Street%20Strandon%20New%20Plymouth%20Taranaki%204312%20Afghanistan%20,/assets/Uploads/organisations/Eagars-logo-v2__PadWzIwMCwyMDAsIkZGRiIsMF0.jpg
Elliotts Chapel on Cameron,07 578 3338,,staff@elliottsfunerals.co.nz,,"414 Cameron Road, Tauranga, Bay of Plenty, 3110, New Zealand",https://www.google.com/maps/search/?api=1&query=414%20Cameron%20Road%20%20Tauranga%20Bay%20of%20Plenty%203110%20New%20Zealand%20,/assets/Uploads/organisations/Logo-v10__PadWzIwMCwyMDAsIkZGRiIsMF0.JPG
Elliotts Funeral Services (Katikati),(07)549 4788,,staff@elliottsfunerals.co.nz,https://elliottsfunerals.co.nz/,"Cnr Main Road and Sheffield Street, Katikati, Bay of Plenty, 3129, New Zealand",https://www.google.com/maps/search/?api=1&query=Cnr%20Main%20Road%20and%20Sheffield%20Street%20Katikati%20Bay%20of%20Plenty%203129%20New%20Zealand%20,/assets/Uploads/organisations/Elliotts-v2__PadWzIwMCwyMDAsIkZGRiIsMF0.png
Elliotts Funeral Services (Mt Maunganui),(07)575 5187,,staff@elliottsfunerals.co.nz,https://elliottsfunerals.co.nz/,"Cnr Gloucester & Girven Roads, Mt Maunganui, Bay of Plenty, 3116, New Zealand",https://www.google.com/maps/search/?api=1&query=Cnr%20Gloucester%20&%20Girven%20Roads%20Mt%20Maunganui%20Bay%20of%20Plenty%203116%20New%20Zealand%20,/assets/Uploads/organisations/Elliotts-v3__PadWzIwMCwyMDAsIkZGRiIsMF0.png
Elliotts Funeral Services (Tauranga),(07)578 3338,,staff@elliottsfunerals.co.nz,https://elliottsfunerals.co.nz/,"25 Ninth Avenue, Tauranga, Bay of Plenty, 3110, New Zealand",https://www.google.com/maps/search/?api=1&query=25%20Ninth%20Avenue%20Tauranga%20Bay%20of%20Plenty%203110%20New%20Zealand%20,/assets/Uploads/organisations/Elliotts-Logo-Strip-Blue_RGB__PadWzIwMCwyMDAsIkZGRiIsMF0.png
Ese Tatupu Funeral Directors,(09)262 3700,,info@tatupufunerals.co.nz,https://www.tatupufunerals.co.nz/,"18 Norman Spencer Drive, Manukau, Auckland, 2104",https://www.google.com/maps/search/?api=1&query=18%20Norman%20Spencer%20Drive%20Manukau%20Auckland%202104%20,/assets/Uploads/organisations/Ese-Tatupu__PadWzIwMCwyMDAsIkZGRiIsMF0.png
Evans Funeral Services,(06)867 9150,,office@evansfuneral.co.nz,https://www.evansfuneral.co.nz/,"171-179 Ormond Road, Gisborne, Gisborne, 4010, New Zealand",https://www.google.com/maps/search/?api=1&query=171-179%20Ormond%20Road%20Gisborne%20Gisborne%204010%20New%20Zealand%20,/assets/Uploads/organisations/Evans__PadWzIwMCwyMDAsIkZGRiIsMF0.jpg
Forrest Funeral Services (East Coast Bays),(09)479 5956,,office@forrests.co.nz,https://forrests.co.nz/,"8 Glen Road, Browns Bay, Auckland, 0630",https://www.google.com/maps/search/?api=1&query=8%20Glen%20Road%20Browns%20Bay%20Auckland%200630%20,/assets/Uploads/organisations/Forrests__PadWzIwMCwyMDAsIkZGRiIsMF0.png
Forrest Funeral Services (Hibiscus Coast),(09)426 7950,,leanne.little@forrests.co.nz,www.forrests.co.nz,"39 Riverside Road, Orewa, Auckland, 0931",https://www.google.com/maps/search/?api=1&query=39%20Riverside%20Road%20Orewa%20Auckland%200931%20,/assets/Uploads/organisations/Forrests-v3__PadWzIwMCwyMDAsIkZGRiIsMF0.png
Fountains Funeral Services (Manurewa),(09)266 6177,,staff@fountainsfunerals.co.nz,https://fountainsfunerals.co.nz/,"36 Maich Road, Manurewa, Auckland, 2102, New Zealand",https://www.google.com/maps/search/?api=1&query=36%20Maich%20Road%20Manurewa%20Auckland%202102%20New%20Zealand%20,/assets/Uploads/organisations/Fountains-v2__PadWzIwMCwyMDAsIkZGRiIsMF0.png
Fountains Funeral Services (Papakura),(09)298 2957,,staff@fountainsfunerals.co.nz,https://fountainsfunerals.co.nz/,"35-39 Wood Street, Papakura, Auckland, 0000",https://www.google.com/maps/search/?api=1&query=35-39%20Wood%20Street%20Papakura%20Auckland%200000%20,/assets/Uploads/organisations/Fountains__PadWzIwMCwyMDAsIkZGRiIsMF0.png
G Barrell & Sons Simplicity Funerals,(03)379 0196,,gbs@simplicity.co.nz,https://simplicity.co.nz/,"58a Coleridge Street, Sydenham, Christchurch, Canterbury, 8023, New Zealand",https://www.google.com/maps/search/?api=1&query=58a%20Coleridge%20Street%20Sydenham%20Christchurch%20Canterbury%208023%20New%20Zealand%20,/assets/Uploads/organisations/G-Barrell__PadWzIwMCwyMDAsIkZGRiIsMF0.png
Galbraith Funeral Services Ltd (Temuka),(03)615 9909,,info@geraldinefunerals.co.nz,https://www.galbraithfuneralservice.co.nz/,"26 King Street, Temuka, Canterbury, 7920",https://www.google.com/maps/search/?api=1&query=26%20King%20Street%20Temuka%20Canterbury%207920%20,/assets/Uploads/organisations/Gailbraith__PadWzIwMCwyMDAsIkZGRiIsMF0.png
Gateway Funeral Services (Whakatane),(07)308 6102,,office@gatewayfuneral.co.nz,https://gatewayfuneral.co.nz/,"17 Awatapu Drive, Whakatane, Bay of Plenty, 3120, New Zealand",https://www.google.com/maps/search/?api=1&query=17%20Awatapu%20Drive%20Whakatane%20Bay%20of%20Plenty%203120%20New%20Zealand%20,/assets/Uploads/organisations/Gateway-v2__PadWzIwMCwyMDAsIkZGRiIsMF0.png
Gateway Funerals (Kaweru),07 308 6102,,office@gatewayfuneral.co.nz,www.gatewayfuneral.co.nz,"2-4 Ranfurly Court, Kaweru, Bay of Plenty, 3127, New Zealand",https://www.google.com/maps/search/?api=1&query=2-4%20Ranfurly%20Court%20Kaweru%20Bay%20of%20Plenty%203127%20New%20Zealand%20,
Geards Funeral Home,09-408 0970,,,https://www.geards.co.nz/,"13 Pukepoto Road, Kaitaia, Northland, 0410, New Zealand",https://www.google.com/maps/search/?api=1&query=13%20Pukepoto%20Road%20Kaitaia%20Northland%200410%20New%20Zealand%20,/assets/Uploads/organisations/logo-geards-21__PadWzIwMCwyMDAsIkZGRiIsMF0.jpg
Gee & Hickton (Lower Hutt),(04)566 3103,,office@geeandhickton.co.nz,https://geeandhickton.co.nz/,"Cnr Cornwall Street and Knights Road, Lower Hutt, Wellington, 0000",https://www.google.com/maps/search/?api=1&query=Cnr%20Cornwall%20Street%20and%20Knights%20Road%20Lower%20Hutt%20Wellington%200000%20,/assets/Uploads/organisations/Logo-Gee-and-Hickton-v2__PadWzIwMCwyMDAsIkZGRiIsMF0.jpg
Gee & Hickton (Upper Hutt),(04)528 2331,,office@geeandhickton.co.nz,https://geeandhickton.co.nz/,"Cnr Cairo and King Streets, Upper Hutt, Wellington, 5018",https://www.google.com/maps/search/?api=1&query=Cnr%20Cairo%20and%20King%20Streets%20Upper%20Hutt%20Wellington%205018%20,/assets/Uploads/organisations/Logo-Gee-and-Hickton-v3__PadWzIwMCwyMDAsIkZGRiIsMF0.jpg
Gee & Hickton- (Porirua),(04)237 5332,,porirua@geeandhickton.co.nz,https://geeandhickton.co.nz/,"6 Norrie Street, Porirua, Wellington, 5022, New Zealand",https://www.google.com/maps/search/?api=1&query=6%20Norrie%20Street%20Porirua%20Wellington%205022%20New%20Zealand%20,/assets/Uploads/organisations/Logo-Gee-and-Hickton-v4__PadWzIwMCwyMDAsIkZGRiIsMF0.jpg
Gentle Touch Funeral Services,06 876 7942,,staff@gentletouch.co.nz,https://www.gentletouch.co.nz/,"920 Heretaunga Street West, Saint Leonards, Hastings, Hawke's Bay, 4120, New Zealand",https://www.google.com/maps/search/?api=1&query=920%20Heretaunga%20Street%20West%20Saint%20Leonards%20Hastings%20Hawke's%20Bay%204120%20New%20Zealand%20,/assets/Uploads/organisations/logo-hor__PadWzIwMCwyMDAsIkZGRiIsMF0.png
Geoffrey T. Sowman Funeral Directors,(03)578 4719,,sowmans@funerals.co.nz,https://sowmans.co.nz/,"Cnr Hutcheson Street & Parker Street, Mayfield, Blenheim, Marlborough, 7201, New Zealand",https://www.google.com/maps/search/?api=1&query=Cnr%20Hutcheson%20Street%20&%20Parker%20Street%20Mayfield%20Blenheim%20Marlborough%207201%20New%20Zealand%20,/assets/Uploads/organisations/Sowmans__PadWzIwMCwyMDAsIkZGRiIsMF0.jpg
Geraldine Funeral Services Ltd,(03)693 8788,,info@geraldinefunerals.co.nz,https://www.galbraithfuneralservice.co.nz/,"186 Talbot Street, Geraldine, Canterbury, 7930",https://www.google.com/maps/search/?api=1&query=186%20Talbot%20Street%20Geraldine%20Canterbury%207930%20,/assets/Uploads/organisations/Geraldine__PadWzIwMCwyMDAsIkZGRiIsMF0.png
Gillions Funeral Services,(03)455 2128,,support@gillions.co.nz,https://www.gillions.co.nz/,"407 Hillside Road, South Dunedin, Dunedin, Otago, 9012",https://www.google.com/maps/search/?api=1&query=407%20Hillside%20Road%20South%20Dunedin%20Dunedin%20Otago%209012%20,/assets/Uploads/organisations/Gillions__PadWzIwMCwyMDAsIkZGRiIsMF0.jpg
